,rank,name,channel_name,office,official,dimention,voice,fans,video_count,duration,like_count,dislike_count,comment_count,islive,tag_count,view_count_per_video,video_publish_delta,Youtube_days,follow,follower,favourites,tweets_count,mentioned,retweeted,text_len,mention_myself,mention_vtuber,delta_tweet_sec,TW_days,view_count
1492,1493,バーチャル美少女不登校ユーチューバー【さく】,,,個人,三次元,機械,179.0,1.0,220.0,58.0,8.0,25.0,0.0,14.0,4407.0,,1616.476191,9.0,213.0,1.0,5.0,0.2,0.0,73.2,0.0,0.0,2177623.0,186.6797292,4408.0
1493,1494,kou channel 魔法学生コウ,,,個人,三次元,男,179.0,28.0,4669.5,4.678571429,0.8214285714,0.3571428571,0.8571428570999999,8.964285713999999,177.6428571,3.225252058,182.5294321,1245.0,862.0,9031.0,6869.0,0.795,0.0,51.99,0.0,0.63,1170.140704,96.11493752,4971.0
1494,1495,バーチャルチェロ奏者 せいらん,,,,,,186.0,42.0,4213.547619,5.0476190480000005,0.0,0.8571428570999999,0.7619047619,2.523809524,60.14285714,2.708739837,115.1506705,501.0,454.0,608.0,1319.0,0.65,0.0,84.33,0.0,0.3,12187.41206,99.16486808,2543.0
1495,1496,あまゐちゃんねる,,,,,,177.0,1.0,31.0,40.0,0.0,12.0,0.0,1.0,262.0,,119.3947793,38.0,527.0,65.0,118.0,0.4322033898,0.0,49.58474576,0.008474576271000001,0.1610169492,43493.61538,125.4961528,263.0
1496,1497,絵フラニーチャンネル,,,,,,,,,,,,,,,,,949.0,923.0,0.0,2544.0,0.875,0.0,33.205,0.0,0.055,5185.180904999998,114.5932709,
1497,1498,ミラP バーチャルプロデューサー,,,,,,180.0,68.0,7517.4,5.9,1.42,0.16,0.84,1.16,66.52,1.957599443,429.3205548,,,,,,,,,,,,4517.0
1498,1499,バーチャルB級ホラーハウス,,,個人,二次元,男,178.0,34.0,789.5882353,8.147058824,0.1764705882,3.529411765,0.0,10.44117647,114.3823529,2.080500491,74.70400387,761.0,1868.0,5063.0,55634.0,0.58,0.0,70.73,0.05,0.195,4053.874372,2984.335887,3900.0
1499,1500,葉桜ちゃんねる【バーチャルYouTuber】,,,個人,三次元,女,182.0,4.0,3757.25,27.25,1.0,7.25,0.5,3.25,498.25,17.38544367,62.78780017,105.0,289.0,16.0,181.0,0.2486187845,0.0,29.12154696,0.0,0.09944751381,92281.33333,193.4867547,2008.0
1500,1501,大神ニト,,,,,,180.0,9.0,2577.444444,34.55555556,0.1111111111,4.444444444,0.6666666667,7.777777778,187.8888889,2.6755367480000003,28.70900387,0.0,285.0,15.0,429.0,0.775,0.0,25.55,0.0,0.005,7818.743719,30.30582873,1704.0
1501,1502,Virtual刑事デッカード,,,個人,三次元,男,186.0,19.0,2489.473684,11.52631579,0.1052631579,1.894736842,0.4210526316,3.684210526,83.26315789,4.10529321,78.35421219999998,144.0,294.0,175.0,203.0,0.4120603015,0.0,75.79396985,0.005025125628,0.2964824121,30435.76768,77.7483403,1583.0
1502,1503,日辻シラムの牧場【ズーミング所属】,,,,,,188.0,4.0,1386.2,23.8,0.0,2.6,0.6,2.4,177.2,5.837346644,51.2899298,244.0,352.0,3941.0,2875.0,0.715,0.0,56.145,0.005,0.085,1145.246231,71.90928938,890.0
1503,1504,ヒカリちゃんバーチャルダイバー・,,,個人,二次元,男,176.0,2.0,193.0,27.0,0.0,5.0,0.0,4.5,274.5,26.01459491,738.2813881,,,,,,,,,,,,552.0
1504,1505,れたれたす,,,,,,176.0,3.0,32.33333333,10.33333333,0.0,5.0,0.0,1.0,60.0,15.18892361,160.5563187,1590.0,962.0,6208.0,3752.0,0.85,0.0,59.32,0.0,0.38,6354.065327,174.47247219999997,181.0
1505,1506,バーチャルユーチューバーファン系バーチャルユーチューバー【猿狼】,,,,,,183.0,44.0,4308.068182,4.659090909,5.204545455,1.886363636,0.6363636364,1.0,147.86363640000005,9.211814438,1217.4472560000004,936.0,714.0,8623.0,6219.0,0.92,0.0,41.01,0.0,0.46,887.8442211000001,915.5393009,6611.0
